Drug_Name,Target_Gene,Target_Protein,Condition,Therapeutic_Class,Mechanism_of_Action,Clinical_Trial_Phase,Status
Drug_280,Gene_64,Protein_88,Anxiety,Glycine Modulator,Mechanism_135,Phase 1,Investigational
Drug_281,Gene_474,Protein_101,Anxiety,Glycine Modulator,Mechanism_148,Preclinical,Approved
Drug_282,Gene_346,Protein_262,Anxiety,Psychedelic,Mechanism_85,Approved,Experimental
Drug_283,Gene_257,Protein_219,Anxiety,SSRI,Mechanism_164,Phase 1,Investigational
Drug_284,Gene_78,Protein_123,Anxiety,Atypical Antipsychotic,Mechanism_50,Approved,Approved
Drug_285,Gene_140,Protein_209,Depression,Glutamatergic Modulator,Mechanism_155,Phase 2,Experimental
Drug_286,Gene_210,Protein_248,Psychosis,SSRI,Mechanism_60,Phase 3,Approved
Drug_287,Gene_294,Protein_50,Anxiety,Atypical Antipsychotic,Mechanism_29,Preclinical,Approved
Drug_288,Gene_70,Protein_245,Psychosis,Psychedelic,Mechanism_136,Approved,Investigational
Drug_289,Gene_81,Protein_258,Psychosis,Glycine Modulator,Mechanism_19,Phase 1,Approved
Drug_290,Gene_348,Protein_42,Psychosis,Benzodiazepine,Mechanism_11,Approved,Experimental
Drug_291,Gene_319,Protein_288,Psychosis,Glutamatergic Modulator,Mechanism_178,Phase 1,Investigational
Drug_292,Gene_183,Protein_245,Psychosis,Glutamatergic Modulator,Mechanism_102,Phase 3,Investigational
Drug_293,Gene_460,Protein_209,Depression,Beta-Blocker,Mechanism_87,Preclinical,Investigational
Drug_294,Gene_200,Protein_228,Anxiety,Atypical Antipsychotic,Mechanism_106,Phase 3,Experimental
Drug_295,Gene_26,Protein_283,Anxiety,NaSSA,Mechanism_132,Preclinical,Approved
Drug_296,Gene_95,Protein_104,Anxiety,SNRI,Mechanism_179,Phase 2,Experimental
Drug_297,Gene_466,Protein_40,Psychosis,Azapirone,Mechanism_151,Phase 2,Experimental
Drug_298,Gene_117,Protein_232,Anxiety,NDRI,Mechanism_183,Phase 2,Investigational
Drug_299,Gene_291,Protein_256,Anxiety,Orexin Antagonist,Mechanism_192,Preclinical,Experimental
Drug_300,Gene_413,Protein_176,Psychosis,Orexin Antagonist,Mechanism_13,Preclinical,Investigational
Drug_301,Gene_247,Protein_65,Psychosis,SNRI,Mechanism_151,Phase 1,Experimental
Drug_302,Gene_205,Protein_298,Depression,SSRI,Mechanism_85,Phase 2,Investigational
Drug_303,Gene_249,Protein_142,Depression,Orexin Antagonist,Mechanism_170,Preclinical,Approved
Drug_304,Gene_324,Protein_170,Anxiety,Azapirone,Mechanism_197,Phase 1,Experimental
Drug_305,Gene_297,Protein_102,Anxiety,Azapirone,Mechanism_30,Phase 2,Approved
Drug_306,Gene_422,Protein_66,Depression,Glycine Modulator,Mechanism_58,Phase 2,Approved
Drug_307,Gene_421,Protein_160,Anxiety,Azapirone,Mechanism_35,Preclinical,Experimental
Drug_308,Gene_18,Protein_95,Psychosis,Azapirone,Mechanism_101,Phase 1,Experimental
Drug_309,Gene_470,Protein_157,Anxiety,Beta-Blocker,Mechanism_129,Preclinical,Approved
Drug_310,Gene_306,Protein_251,Psychosis,Atypical Antipsychotic,Mechanism_164,Phase 3,Experimental
Drug_311,Gene_114,Protein_243,Anxiety,Glutamatergic Modulator,Mechanism_157,Approved,Approved
Drug_312,Gene_307,Protein_186,Depression,Glutamatergic Modulator,Mechanism_102,Phase 2,Approved
Drug_313,Gene_406,Protein_138,Anxiety,Glycine Modulator,Mechanism_100,Approved,Experimental
Drug_314,Gene_203,Protein_162,Depression,Beta-Blocker,Mechanism_18,Phase 2,Investigational
Drug_315,Gene_484,Protein_70,Anxiety,Psychedelic,Mechanism_184,Phase 3,Experimental
Drug_316,Gene_247,Protein_236,Depression,Glycine Modulator,Mechanism_129,Phase 2,Experimental
Drug_317,Gene_390,Protein_39,Depression,Atypical Antipsychotic,Mechanism_71,Phase 1,Experimental
Drug_318,Gene_216,Protein_187,Psychosis,NDRI,Mechanism_69,Phase 2,Investigational
Drug_319,Gene_308,Protein_168,Depression,Orexin Antagonist,Mechanism_61,Phase 2,Investigational
Drug_320,Gene_111,Protein_12,Psychosis,Glycine Modulator,Mechanism_167,Preclinical,Investigational
Drug_321,Gene_483,Protein_297,Depression,SNRI,Mechanism_68,Preclinical,Approved
Drug_322,Gene_169,Protein_178,Psychosis,Glutamatergic Modulator,Mechanism_32,Phase 1,Approved
Drug_323,Gene_247,Protein_84,Anxiety,Atypical Antipsychotic,Mechanism_16,Preclinical,Investigational
Drug_324,Gene_223,Protein_43,Psychosis,Glycine Modulator,Mechanism_139,Phase 3,Approved
Drug_325,Gene_35,Protein_214,Anxiety,Atypical Antipsychotic,Mechanism_139,Phase 1,Investigational
Drug_326,Gene_450,Protein_153,Anxiety,Psychedelic,Mechanism_19,Phase 3,Investigational
Drug_327,Gene_386,Protein_137,Anxiety,Benzodiazepine,Mechanism_50,Phase 3,Experimental
Drug_328,Gene_500,Protein_49,Psychosis,NaSSA,Mechanism_119,Phase 2,Investigational
Drug_329,Gene_158,Protein_271,Depression,NaSSA,Mechanism_145,Phase 3,Investigational
Drug_330,Gene_493,Protein_74,Anxiety,Atypical Antipsychotic,Mechanism_189,Phase 3,Investigational
Drug_331,Gene_338,Protein_259,Psychosis,Benzodiazepine,Mechanism_2,Preclinical,Approved
Drug_332,Gene_475,Protein_73,Depression,NDRI,Mechanism_153,Phase 3,Investigational
Drug_333,Gene_417,Protein_111,Depression,Psychedelic,Mechanism_180,Phase 2,Experimental
Drug_334,Gene_382,Protein_25,Anxiety,Psychedelic,Mechanism_148,Preclinical,Approved
Drug_335,Gene_451,Protein_144,Depression,Orexin Antagonist,Mechanism_173,Approved,Approved
Drug_336,Gene_437,Protein_298,Depression,NaSSA,Mechanism_116,Phase 1,Experimental
Drug_337,Gene_66,Protein_191,Depression,SSRI,Mechanism_127,Preclinical,Approved
Drug_338,Gene_437,Protein_43,Anxiety,NDRI,Mechanism_168,Phase 3,Investigational
Drug_339,Gene_225,Protein_111,Depression,Orexin Antagonist,Mechanism_128,Approved,Experimental
Drug_340,Gene_144,Protein_158,Psychosis,Benzodiazepine,Mechanism_28,Approved,Experimental
Drug_341,Gene_236,Protein_44,Depression,Beta-Blocker,Mechanism_68,Preclinical,Experimental
Drug_342,Gene_1,Protein_156,Anxiety,Atypical Antipsychotic,Mechanism_104,Phase 2,Experimental
Drug_343,Gene_257,Protein_190,Anxiety,Beta-Blocker,Mechanism_76,Approved,Approved
Drug_344,Gene_109,Protein_190,Anxiety,Atypical Antipsychotic,Mechanism_71,Preclinical,Approved
Drug_345,Gene_18,Protein_78,Anxiety,NDRI,Mechanism_184,Phase 3,Experimental
Drug_346,Gene_129,Protein_121,Depression,NaSSA,Mechanism_38,Preclinical,Investigational
Drug_347,Gene_200,Protein_203,Depression,Orexin Antagonist,Mechanism_18,Preclinical,Investigational
Drug_348,Gene_225,Protein_245,Psychosis,Glutamatergic Modulator,Mechanism_68,Phase 2,Experimental
Drug_349,Gene_168,Protein_18,Depression,Atypical Antipsychotic,Mechanism_54,Phase 1,Approved
Drug_350,Gene_208,Protein_93,Psychosis,NaSSA,Mechanism_168,Phase 2,Investigational
Drug_351,Gene_22,Protein_247,Psychosis,Azapirone,Mechanism_161,Preclinical,Investigational
Drug_352,Gene_435,Protein_54,Depression,Benzodiazepine,Mechanism_114,Phase 2,Experimental
Drug_353,Gene_263,Protein_259,Depression,Benzodiazepine,Mechanism_168,Preclinical,Investigational
Drug_354,Gene_314,Protein_217,Depression,Benzodiazepine,Mechanism_20,Preclinical,Experimental
Drug_355,Gene_342,Protein_187,Depression,Azapirone,Mechanism_183,Phase 1,Experimental
Drug_356,Gene_475,Protein_187,Anxiety,Atypical Antipsychotic,Mechanism_160,Approved,Experimental
Drug_357,Gene_403,Protein_287,Psychosis,Glycine Modulator,Mechanism_129,Preclinical,Experimental
Drug_358,Gene_294,Protein_240,Psychosis,NaSSA,Mechanism_74,Phase 1,Experimental
Drug_359,Gene_1,Protein_202,Anxiety,Atypical Antipsychotic,Mechanism_115,Preclinical,Experimental
Drug_360,Gene_9,Protein_239,Anxiety,Beta-Blocker,Mechanism_137,Phase 3,Investigational
Drug_361,Gene_320,Protein_30,Psychosis,Atypical Antipsychotic,Mechanism_28,Phase 2,Investigational
Drug_362,Gene_240,Protein_230,Psychosis,Orexin Antagonist,Mechanism_45,Phase 3,Approved
Drug_363,Gene_34,Protein_276,Anxiety,NDRI,Mechanism_52,Phase 3,Approved
Drug_364,Gene_300,Protein_111,Depression,SNRI,Mechanism_22,Approved,Approved
Drug_365,Gene_165,Protein_150,Anxiety,Glycine Modulator,Mechanism_86,Approved,Approved
Drug_366,Gene_183,Protein_257,Psychosis,Beta-Blocker,Mechanism_5,Preclinical,Experimental
Drug_367,Gene_480,Protein_102,Anxiety,SNRI,Mechanism_137,Phase 1,Experimental
Drug_368,Gene_210,Protein_87,Anxiety,Psychedelic,Mechanism_145,Approved,Approved
Drug_369,Gene_182,Protein_11,Depression,Beta-Blocker,Mechanism_28,Preclinical,Experimental
Drug_370,Gene_123,Protein_69,Anxiety,Beta-Blocker,Mechanism_5,Phase 1,Investigational
Drug_371,Gene_115,Protein_285,Psychosis,Glycine Modulator,Mechanism_104,Approved,Approved
Drug_372,Gene_215,Protein_91,Psychosis,Glutamatergic Modulator,Mechanism_117,Phase 3,Investigational
Drug_373,Gene_55,Protein_78,Psychosis,NaSSA,Mechanism_194,Phase 2,Investigational
Drug_374,Gene_357,Protein_48,Psychosis,Atypical Antipsychotic,Mechanism_75,Phase 2,Approved
Drug_375,Gene_229,Protein_128,Depression,Benzodiazepine,Mechanism_25,Phase 2,Experimental
Drug_376,Gene_52,Protein_59,Depression,Orexin Antagonist,Mechanism_151,Phase 3,Approved
Drug_377,Gene_354,Protein_47,Psychosis,SNRI,Mechanism_19,Preclinical,Investigational
Drug_378,Gene_402,Protein_36,Depression,Glutamatergic Modulator,Mechanism_77,Phase 1,Investigational
Drug_379,Gene_159,Protein_214,Anxiety,Atypical Antipsychotic,Mechanism_160,Phase 1,Experimental
Drug_380,Gene_337,Protein_214,Depression,SNRI,Mechanism_23,Phase 2,Approved
Drug_381,Gene_21,Protein_234,Depression,Glycine Modulator,Mechanism_126,Phase 2,Approved
Drug_382,Gene_343,Protein_197,Depression,NaSSA,Mechanism_185,Phase 3,Experimental
Drug_383,Gene_326,Protein_17,Depression,SNRI,Mechanism_64,Preclinical,Approved
Drug_384,Gene_303,Protein_141,Depression,SNRI,Mechanism_98,Phase 1,Experimental
Drug_385,Gene_235,Protein_214,Psychosis,Orexin Antagonist,Mechanism_35,Preclinical,Experimental
Drug_386,Gene_306,Protein_150,Psychosis,NDRI,Mechanism_116,Phase 3,Investigational
Drug_387,Gene_104,Protein_54,Anxiety,SNRI,Mechanism_52,Preclinical,Investigational
Drug_388,Gene_315,Protein_12,Psychosis,Beta-Blocker,Mechanism_82,Preclinical,Approved
Drug_389,Gene_411,Protein_40,Anxiety,Glutamatergic Modulator,Mechanism_46,Phase 3,Investigational
Drug_390,Gene_158,Protein_107,Anxiety,Psychedelic,Mechanism_7,Phase 2,Approved
Drug_391,Gene_98,Protein_271,Depression,Azapirone,Mechanism_165,Phase 1,Investigational
Drug_392,Gene_29,Protein_221,Depression,Glutamatergic Modulator,Mechanism_64,Phase 3,Experimental
Drug_393,Gene_350,Protein_37,Psychosis,Atypical Antipsychotic,Mechanism_35,Preclinical,Investigational
Drug_394,Gene_380,Protein_123,Depression,NaSSA,Mechanism_174,Approved,Experimental
Drug_395,Gene_152,Protein_48,Psychosis,Orexin Antagonist,Mechanism_156,Preclinical,Investigational
Drug_396,Gene_197,Protein_119,Psychosis,SSRI,Mechanism_78,Preclinical,Approved
Drug_397,Gene_343,Protein_29,Depression,NaSSA,Mechanism_115,Preclinical,Investigational
Drug_398,Gene_417,Protein_72,Anxiety,Orexin Antagonist,Mechanism_55,Phase 1,Approved
Drug_399,Gene_17,Protein_148,Anxiety,Glutamatergic Modulator,Mechanism_148,Phase 3,Approved
Drug_400,Gene_473,Protein_258,Anxiety,Beta-Blocker,Mechanism_43,Approved,Investigational
Drug_401,Gene_44,Protein_56,Psychosis,NDRI,Mechanism_192,Preclinical,Experimental
Drug_402,Gene_496,Protein_146,Psychosis,Azapirone,Mechanism_198,Phase 1,Experimental
Drug_403,Gene_478,Protein_124,Depression,Orexin Antagonist,Mechanism_110,Approved,Approved
Drug_404,Gene_426,Protein_97,Psychosis,Orexin Antagonist,Mechanism_145,Phase 1,Investigational
Drug_405,Gene_462,Protein_250,Depression,NDRI,Mechanism_36,Preclinical,Experimental
Drug_406,Gene_397,Protein_157,Depression,Atypical Antipsychotic,Mechanism_13,Preclinical,Investigational
Drug_407,Gene_83,Protein_274,Psychosis,Glutamatergic Modulator,Mechanism_126,Preclinical,Experimental
Drug_408,Gene_182,Protein_37,Anxiety,Glutamatergic Modulator,Mechanism_35,Phase 1,Investigational
Drug_409,Gene_265,Protein_15,Psychosis,Psychedelic,Mechanism_57,Phase 2,Experimental
Drug_410,Gene_304,Protein_61,Psychosis,Benzodiazepine,Mechanism_42,Phase 2,Experimental
Drug_411,Gene_495,Protein_153,Psychosis,Psychedelic,Mechanism_138,Phase 3,Investigational
Drug_412,Gene_143,Protein_75,Anxiety,Orexin Antagonist,Mechanism_86,Approved,Approved
Drug_413,Gene_9,Protein_77,Anxiety,SSRI,Mechanism_47,Phase 3,Investigational
Drug_414,Gene_223,Protein_194,Depression,Benzodiazepine,Mechanism_97,Phase 2,Approved
Drug_415,Gene_195,Protein_267,Depression,Glutamatergic Modulator,Mechanism_72,Preclinical,Experimental
Drug_416,Gene_168,Protein_122,Psychosis,Atypical Antipsychotic,Mechanism_175,Phase 1,Experimental
Drug_417,Gene_414,Protein_297,Depression,SSRI,Mechanism_74,Approved,Investigational
Drug_418,Gene_157,Protein_14,Depression,Glycine Modulator,Mechanism_159,Preclinical,Investigational
Drug_419,Gene_253,Protein_263,Anxiety,SNRI,Mechanism_65,Phase 3,Experimental
Drug_420,Gene_389,Protein_91,Depression,Glutamatergic Modulator,Mechanism_38,Approved,Investigational
Drug_421,Gene_94,Protein_220,Psychosis,Orexin Antagonist,Mechanism_19,Approved,Investigational
Drug_422,Gene_256,Protein_275,Anxiety,SNRI,Mechanism_38,Phase 2,Experimental
Drug_423,Gene_86,Protein_280,Depression,NaSSA,Mechanism_150,Preclinical,Experimental
Drug_424,Gene_395,Protein_300,Depression,Psychedelic,Mechanism_188,Phase 1,Approved
Drug_425,Gene_341,Protein_157,Psychosis,SNRI,Mechanism_10,Phase 3,Approved
Drug_426,Gene_30,Protein_200,Psychosis,SNRI,Mechanism_40,Phase 2,Investigational
Drug_427,Gene_421,Protein_243,Anxiety,Atypical Antipsychotic,Mechanism_83,Phase 1,Experimental
Drug_428,Gene_372,Protein_153,Psychosis,Orexin Antagonist,Mechanism_197,Phase 3,Experimental
Drug_429,Gene_276,Protein_131,Depression,Orexin Antagonist,Mechanism_113,Approved,Investigational
Drug_430,Gene_310,Protein_38,Depression,Atypical Antipsychotic,Mechanism_97,Phase 2,Investigational
Drug_431,Gene_314,Protein_280,Depression,Benzodiazepine,Mechanism_69,Preclinical,Experimental
Drug_432,Gene_398,Protein_201,Depression,NDRI,Mechanism_182,Approved,Investigational
Drug_433,Gene_190,Protein_86,Psychosis,Glycine Modulator,Mechanism_122,Phase 2,Investigational
Drug_434,Gene_403,Protein_144,Depression,Beta-Blocker,Mechanism_28,Phase 2,Experimental
Drug_435,Gene_35,Protein_71,Psychosis,SSRI,Mechanism_147,Approved,Experimental
Drug_436,Gene_34,Protein_215,Depression,Glutamatergic Modulator,Mechanism_167,Preclinical,Experimental
Drug_437,Gene_305,Protein_141,Depression,Benzodiazepine,Mechanism_102,Phase 1,Investigational
Drug_438,Gene_173,Protein_132,Anxiety,Benzodiazepine,Mechanism_25,Phase 3,Approved
Drug_439,Gene_422,Protein_299,Depression,Psychedelic,Mechanism_55,Phase 2,Experimental
Drug_440,Gene_314,Protein_151,Psychosis,Glycine Modulator,Mechanism_101,Approved,Experimental
Drug_441,Gene_453,Protein_59,Anxiety,Psychedelic,Mechanism_25,Phase 2,Investigational
Drug_442,Gene_151,Protein_218,Psychosis,Glutamatergic Modulator,Mechanism_18,Approved,Approved
Drug_443,Gene_439,Protein_86,Psychosis,Psychedelic,Mechanism_118,Phase 2,Approved
Drug_444,Gene_68,Protein_162,Depression,Benzodiazepine,Mechanism_139,Phase 3,Approved
Drug_445,Gene_402,Protein_169,Psychosis,SSRI,Mechanism_85,Approved,Investigational
Drug_446,Gene_402,Protein_135,Anxiety,Azapirone,Mechanism_91,Phase 3,Investigational
Drug_447,Gene_154,Protein_246,Anxiety,Glutamatergic Modulator,Mechanism_39,Phase 1,Approved
Drug_448,Gene_432,Protein_59,Anxiety,Beta-Blocker,Mechanism_52,Phase 3,Investigational
Drug_449,Gene_481,Protein_55,Psychosis,Orexin Antagonist,Mechanism_166,Preclinical,Approved
Drug_450,Gene_353,Protein_218,Anxiety,Orexin Antagonist,Mechanism_59,Phase 2,Experimental
Drug_451,Gene_298,Protein_233,Psychosis,Azapirone,Mechanism_114,Approved,Experimental
Drug_452,Gene_289,Protein_1,Anxiety,NaSSA,Mechanism_151,Approved,Experimental
Drug_453,Gene_406,Protein_39,Anxiety,Benzodiazepine,Mechanism_136,Approved,Experimental
Drug_454,Gene_490,Protein_174,Depression,NDRI,Mechanism_115,Approved,Approved
Drug_455,Gene_389,Protein_161,Anxiety,Atypical Antipsychotic,Mechanism_159,Approved,Investigational
Drug_456,Gene_13,Protein_116,Anxiety,SSRI,Mechanism_55,Phase 2,Approved
Drug_457,Gene_108,Protein_224,Psychosis,NDRI,Mechanism_36,Preclinical,Experimental
Drug_458,Gene_288,Protein_285,Psychosis,Beta-Blocker,Mechanism_57,Preclinical,Approved
Drug_459,Gene_279,Protein_199,Depression,Beta-Blocker,Mechanism_158,Phase 3,Approved
Drug_460,Gene_111,Protein_220,Depression,Atypical Antipsychotic,Mechanism_145,Phase 2,Experimental
Drug_461,Gene_124,Protein_247,Anxiety,Glycine Modulator,Mechanism_148,Preclinical,Investigational
Drug_462,Gene_35,Protein_242,Anxiety,SSRI,Mechanism_190,Phase 3,Experimental
Drug_463,Gene_407,Protein_44,Anxiety,Benzodiazepine,Mechanism_127,Phase 3,Experimental
Drug_464,Gene_313,Protein_104,Depression,Atypical Antipsychotic,Mechanism_57,Preclinical,Approved
Drug_465,Gene_360,Protein_125,Psychosis,Atypical Antipsychotic,Mechanism_24,Approved,Experimental
Drug_466,Gene_231,Protein_65,Psychosis,Orexin Antagonist,Mechanism_105,Phase 1,Experimental
Drug_467,Gene_354,Protein_172,Anxiety,SSRI,Mechanism_121,Phase 1,Investigational
Drug_468,Gene_52,Protein_159,Depression,NDRI,Mechanism_109,Preclinical,Approved
Drug_469,Gene_151,Protein_37,Anxiety,Benzodiazepine,Mechanism_153,Phase 1,Approved
Drug_470,Gene_100,Protein_275,Depression,Azapirone,Mechanism_97,Approved,Experimental
Drug_471,Gene_146,Protein_100,Depression,Glutamatergic Modulator,Mechanism_36,Phase 2,Experimental
Drug_472,Gene_434,Protein_296,Psychosis,Orexin Antagonist,Mechanism_82,Phase 3,Approved
Drug_473,Gene_412,Protein_226,Depression,Atypical Antipsychotic,Mechanism_112,Phase 1,Approved
Drug_474,Gene_237,Protein_205,Psychosis,Beta-Blocker,Mechanism_76,Phase 1,Experimental
Drug_475,Gene_50,Protein_298,Anxiety,SNRI,Mechanism_152,Preclinical,Experimental
Drug_476,Gene_382,Protein_3,Anxiety,Orexin Antagonist,Mechanism_134,Approved,Approved
Drug_477,Gene_78,Protein_51,Depression,Glycine Modulator,Mechanism_182,Phase 3,Experimental
Drug_478,Gene_109,Protein_200,Anxiety,Psychedelic,Mechanism_153,Phase 3,Approved
Drug_479,Gene_338,Protein_97,Depression,Atypical Antipsychotic,Mechanism_146,Phase 2,Experimental
Drug_480,Gene_453,Protein_194,Psychosis,SSRI,Mechanism_116,Approved,Experimental
Drug_481,Gene_235,Protein_75,Psychosis,Beta-Blocker,Mechanism_29,Phase 2,Investigational
Drug_482,Gene_197,Protein_181,Anxiety,Benzodiazepine,Mechanism_20,Preclinical,Approved
Drug_483,Gene_377,Protein_149,Depression,Glutamatergic Modulator,Mechanism_48,Phase 3,Experimental
Drug_484,Gene_369,Protein_134,Anxiety,NDRI,Mechanism_37,Phase 3,Approved
Drug_485,Gene_201,Protein_195,Anxiety,SNRI,Mechanism_39,Phase 1,Approved
Drug_486,Gene_156,Protein_216,Anxiety,Beta-Blocker,Mechanism_98,Phase 2,Approved
Drug_487,Gene_341,Protein_211,Depression,Psychedelic,Mechanism_31,Phase 3,Experimental
Drug_488,Gene_445,Protein_168,Psychosis,Atypical Antipsychotic,Mechanism_154,Approved,Investigational
Drug_489,Gene_29,Protein_29,Anxiety,SSRI,Mechanism_97,Phase 3,Experimental
Drug_490,Gene_449,Protein_119,Psychosis,Beta-Blocker,Mechanism_193,Phase 3,Investigational
Drug_491,Gene_61,Protein_69,Anxiety,SNRI,Mechanism_6,Phase 2,Experimental
Drug_492,Gene_62,Protein_213,Anxiety,NDRI,Mechanism_107,Approved,Investigational
Drug_493,Gene_488,Protein_41,Psychosis,SSRI,Mechanism_45,Phase 1,Experimental
Drug_494,Gene_302,Protein_77,Psychosis,Azapirone,Mechanism_61,Phase 1,Experimental
Drug_495,Gene_429,Protein_146,Anxiety,NaSSA,Mechanism_117,Preclinical,Approved
Drug_496,Gene_52,Protein_94,Anxiety,NDRI,Mechanism_149,Preclinical,Investigational
Drug_497,Gene_406,Protein_61,Depression,Benzodiazepine,Mechanism_166,Phase 1,Investigational
Drug_498,Gene_281,Protein_282,Psychosis,Glutamatergic Modulator,Mechanism_197,Preclinical,Experimental
Drug_499,Gene_131,Protein_169,Anxiety,NaSSA,Mechanism_100,Preclinical,Approved
Drug_500,Gene_433,Protein_213,Depression,SNRI,Mechanism_1,Phase 3,Experimental
Drug_501,Gene_70,Protein_40,Psychosis,SSRI,Mechanism_130,Phase 1,Investigational
Drug_502,Gene_176,Protein_171,Anxiety,Psychedelic,Mechanism_57,Phase 3,Investigational
Drug_503,Gene_139,Protein_184,Depression,Psychedelic,Mechanism_169,Phase 2,Approved
Drug_504,Gene_287,Protein_13,Anxiety,Azapirone,Mechanism_14,Approved,Investigational
Drug_505,Gene_491,Protein_189,Anxiety,NaSSA,Mechanism_102,Preclinical,Experimental
Drug_506,Gene_467,Protein_58,Anxiety,Orexin Antagonist,Mechanism_89,Phase 1,Investigational
Drug_507,Gene_130,Protein_176,Anxiety,Glutamatergic Modulator,Mechanism_182,Phase 3,Investigational
Drug_508,Gene_397,Protein_101,Depression,NaSSA,Mechanism_138,Preclinical,Investigational
Drug_509,Gene_247,Protein_20,Anxiety,Beta-Blocker,Mechanism_196,Phase 2,Investigational
Drug_510,Gene_255,Protein_201,Psychosis,Glutamatergic Modulator,Mechanism_63,Phase 2,Investigational
Drug_511,Gene_99,Protein_265,Psychosis,Atypical Antipsychotic,Mechanism_53,Phase 1,Experimental
Drug_512,Gene_142,Protein_81,Anxiety,Psychedelic,Mechanism_89,Phase 3,Approved
Drug_513,Gene_395,Protein_247,Psychosis,Orexin Antagonist,Mechanism_100,Approved,Approved
Drug_514,Gene_367,Protein_213,Anxiety,Psychedelic,Mechanism_2,Preclinical,Experimental
Drug_515,Gene_332,Protein_60,Psychosis,NDRI,Mechanism_54,Phase 3,Experimental
Drug_516,Gene_341,Protein_190,Psychosis,NDRI,Mechanism_171,Phase 1,Approved
Drug_517,Gene_80,Protein_175,Anxiety,Beta-Blocker,Mechanism_185,Phase 3,Investigational
Drug_518,Gene_259,Protein_42,Anxiety,Atypical Antipsychotic,Mechanism_87,Phase 3,Approved
Drug_519,Gene_341,Protein_251,Anxiety,SNRI,Mechanism_7,Approved,Approved
Drug_520,Gene_479,Protein_30,Psychosis,Glutamatergic Modulator,Mechanism_30,Approved,Experimental
Drug_521,Gene_269,Protein_34,Anxiety,Beta-Blocker,Mechanism_198,Approved,Approved
Drug_522,Gene_470,Protein_291,Depression,Psychedelic,Mechanism_149,Phase 2,Approved
Drug_523,Gene_223,Protein_77,Depression,NDRI,Mechanism_46,Phase 1,Approved
Drug_524,Gene_444,Protein_232,Psychosis,Benzodiazepine,Mechanism_200,Approved,Approved
Drug_525,Gene_224,Protein_117,Psychosis,SSRI,Mechanism_181,Phase 2,Investigational
Drug_526,Gene_500,Protein_83,Psychosis,Psychedelic,Mechanism_77,Phase 2,Experimental
Drug_527,Gene_374,Protein_120,Anxiety,SNRI,Mechanism_193,Phase 1,Experimental
Drug_528,Gene_196,Protein_32,Anxiety,SNRI,Mechanism_142,Phase 1,Experimental
Drug_529,Gene_361,Protein_167,Psychosis,Orexin Antagonist,Mechanism_108,Preclinical,Investigational
Drug_530,Gene_467,Protein_4,Anxiety,Psychedelic,Mechanism_85,Approved,Investigational
Drug_531,Gene_3,Protein_66,Depression,Azapirone,Mechanism_73,Preclinical,Approved
Drug_532,Gene_342,Protein_120,Depression,Glutamatergic Modulator,Mechanism_120,Approved,Approved
Drug_533,Gene_27,Protein_180,Psychosis,Beta-Blocker,Mechanism_64,Phase 3,Approved
Drug_534,Gene_4,Protein_192,Depression,Glycine Modulator,Mechanism_70,Phase 3,Investigational
Drug_535,Gene_447,Protein_233,Psychosis,Glycine Modulator,Mechanism_66,Phase 2,Experimental
Drug_536,Gene_132,Protein_45,Anxiety,Atypical Antipsychotic,Mechanism_94,Phase 3,Experimental
Drug_537,Gene_103,Protein_51,Depression,Orexin Antagonist,Mechanism_3,Phase 1,Approved
Drug_538,Gene_392,Protein_99,Depression,NDRI,Mechanism_173,Phase 1,Approved
Drug_539,Gene_310,Protein_160,Psychosis,Orexin Antagonist,Mechanism_83,Phase 1,Investigational
Drug_540,Gene_476,Protein_44,Psychosis,Azapirone,Mechanism_95,Phase 2,Investigational
Drug_541,Gene_71,Protein_53,Depression,Glutamatergic Modulator,Mechanism_130,Phase 3,Approved
Drug_542,Gene_115,Protein_285,Anxiety,Azapirone,Mechanism_75,Approved,Experimental
Drug_543,Gene_199,Protein_223,Psychosis,Orexin Antagonist,Mechanism_159,Phase 3,Experimental
Drug_544,Gene_481,Protein_4,Psychosis,SSRI,Mechanism_140,Approved,Experimental
Drug_545,Gene_305,Protein_159,Depression,Orexin Antagonist,Mechanism_112,Phase 3,Experimental
Drug_546,Gene_271,Protein_112,Anxiety,NDRI,Mechanism_128,Phase 2,Investigational
Drug_547,Gene_252,Protein_74,Psychosis,Orexin Antagonist,Mechanism_168,Preclinical,Investigational
Drug_548,Gene_455,Protein_136,Depression,SNRI,Mechanism_138,Preclinical,Approved
Drug_549,Gene_295,Protein_181,Anxiety,NDRI,Mechanism_193,Phase 1,Approved
Drug_550,Gene_90,Protein_101,Anxiety,Benzodiazepine,Mechanism_23,Phase 2,Investigational
Drug_551,Gene_324,Protein_183,Anxiety,Psychedelic,Mechanism_128,Phase 2,Experimental
Drug_552,Gene_356,Protein_11,Depression,Psychedelic,Mechanism_41,Phase 3,Approved
Drug_553,Gene_79,Protein_148,Psychosis,Psychedelic,Mechanism_90,Phase 2,Approved
Drug_554,Gene_500,Protein_79,Psychosis,Glycine Modulator,Mechanism_118,Phase 1,Investigational
Drug_555,Gene_413,Protein_296,Depression,Azapirone,Mechanism_2,Phase 1,Investigational
Drug_556,Gene_400,Protein_101,Psychosis,Benzodiazepine,Mechanism_194,Preclinical,Experimental
Drug_557,Gene_123,Protein_24,Psychosis,SSRI,Mechanism_90,Preclinical,Approved
