Drug Name,Drug Class,Target,Mechanism of Action,Indication,Approval Year,Common Side Effects,Relevant Studies
Drug 175,TCA,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Panic Disorder,2010,Weight Gain,Johnson et al. (2019)
Drug 176,TCA,Serotinin and Norepinephrine,Enhances the effect of GABA at the GABA-A receptor,Panic Disorder,1972,"Somolence, Insomnia, Weight Gain",Smith et al. (2020)
Drug 177,Atypical Antipsychotic,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",Bipolar Disorder,2015,"Akathisia, Drowsiness",Johnson et al. (2019)
Drug 178,Anxiolytic,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Insomnia,1970,Somolence,Thompson et al. (2019)
Drug 179,SARI,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Anxiety,1960,"Weight Gain, Fatigue, Insomnia",Nuss et al. 2020
Drug 180,SSRI,Serotinin Transporter (SERT),Enhances the effect of GABA at the GABA-A receptor,Anxiety,1982,"Akathisia, Fatigue",Garcia et al. (2020)
Drug 181,SSRI,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",Schizophrenia,1961,Weight Gain,Sullivan et al. (2017)
Drug 182,Atypical Antipsychotic,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Generalized Anxiety,2002,"Dry Mouth, Somolence, Fatigue",Garcia et al. (2020)
Drug 183,Anxiolytic,GABA Receptor,Enhances the effect of GABA at the GABA-A receptor,Bipolar Disorder,1970,"Weight Gain, Dry Mouth, Headache",Davis et al. (2021)
Drug 184,SSRI,GABA Receptor,Inhibits reuptake of serotonine,Panic Disorder,2012,Nursea,Parker et al. (2022)
Drug 185,Anxiolytic,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Bipolar Disorder,2012,"Fatigue, Drowsiness",Thompson et al. (2019)
Drug 186,NDRI,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Panic Disorder,1970,"Drowsiness, Diarrhea",Thompson et al. (2019)
Drug 187,NaSSA,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Anxiety,2020,"Headache, Insomnia",Parker et al. (2022)
Drug 188,Atypical Antipsychotic,Serotinin and Norepinephrine,"Partial agonism and blockade, stabilizes dopamine levels",Insomnia,1979,Fatigue,Nuss et al. 2020
Drug 189,TCA,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Anxiety,1978,Dry Mouth,Brown et al. (2023)
Drug 190,NDRI,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",Panic Disorder,1999,"Weight Gain, Diarrhea, Akathisia",Thompson et al. (2019)
Drug 191,Atypical Antipsychotic,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Panic Disorder,1961,"Headache, Dry Mouth",Smith et al. (2020)
Drug 192,SSRI,GABA Receptor,Inhibits reuptake of serotonin and norepinephrine,Anxiety,2006,"Somolence, Diarrhea",Brown et al. (2023)
Drug 193,TCA,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Anxiety,1972,"Nursea, Weight Gain, Diarrhea",Nuss et al. 2020
Drug 194,TCA,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Anxiety,2001,"Dry Mouth, Headache",Nuss et al. 2020
Drug 195,NaSSA,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Bipolar Disorder,1964,"Drowsiness, Insomnia, Fatigue",Thompson et al. (2019)
Drug 196,NDRI,Norepinephrine Transporter (NET),Antagonist at centain serotinin and norepinephrine receptors,Anxiety,1978,Akathisia,Davis et al. (2021)
Drug 197,SARI,Serotinin and Norepinephrine,"Partial agonism and blockade, stabilizes dopamine levels",Depression,2000,"Drowsiness, Somolence, Dry Mouth",Nuss et al. 2020
Drug 198,Atypical Antipsychotic,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Schizophrenia,2010,"Akathisia, Drowsiness",Johnson et al. (2019)
Drug 199,NDRI,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Insomnia,1973,Headache,Garcia et al. (2020)
Drug 200,NDRI,Serotinin Transporter (SERT),Enhances the effect of GABA at the GABA-A receptor,Anxiety,1965,Insomnia,Johnson et al. (2019)
Drug 201,SSRI,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Insomnia,1971,"Drowsiness, Fatigue",Davis et al. (2021)
Drug 202,NDRI,Dopamine Receptors,Inhibits reuptake of serotonin and norepinephrine,OCD,1972,Nursea,Garcia et al. (2020)
Drug 203,TCA,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",Depression,1981,Diarrhea,Davis et al. (2021)
Drug 204,NDRI,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Schizophrenia,1986,"Drowsiness, Headache",Garcia et al. (2020)
Drug 205,SARI,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,Bipolar Disorder,2013,"Headache, Insomnia",Johnson et al. (2019)
Drug 206,NDRI,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Panic Disorder,1976,"Fatigue, Weight Gain",Garcia et al. (2020)
Drug 207,SARI,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Schizophrenia,1979,"Akathisia, Nursea",Smith et al. (2020)
Drug 208,TCA,Serotinin and Norepinephrine,Enhances the effect of GABA at the GABA-A receptor,Generalized Anxiety,2020,"Dry Mouth, Akathisia, Fatigue",Thompson et al. (2019)
Drug 209,NDRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Bipolar Disorder,2005,"Fatigue, Weight Gain",Thompson et al. (2019)
Drug 210,NDRI,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",Anxiety,1989,"Weight Gain, Diarrhea, Dry Mouth",Brown et al. (2023)
Drug 211,TCA,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Depression,1985,"Fatigue, Dry Mouth, Weight Gain",Smith et al. (2020)
Drug 212,Anxiolytic,Norepinephrine Transporter (NET),"Partial agonism and blockade, stabilizes dopamine levels",Depression,2010,"Dry Mouth, Diarrhea",Garcia et al. (2020)
Drug 213,SSRI,Dopamine Receptors,Inhibits reuptake of serotonin and norepinephrine,OCD,2000,"Nursea, Somolence",Brown et al. (2023)
Drug 214,NDRI,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",Generalized Anxiety,1968,Diarrhea,Thompson et al. (2019)
Drug 215,NDRI,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",Generalized Anxiety,1992,"Dry Mouth, Insomnia",Davis et al. (2021)
Drug 216,SSRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Depression,1964,Dry Mouth,Nuss et al. 2020
Drug 217,TCA,GABA Receptor,Inhibits reuptake of serotonin and norepinephrine,OCD,1961,Akathisia,Sullivan et al. (2017)
Drug 218,Anxiolytic,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Insomnia,2018,"Headache, Somolence",Parker et al. (2022)
Drug 219,NDRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Panic Disorder,2004,"Insomnia, Somolence",Brown et al. (2023)
Drug 220,NaSSA,Norepinephrine Transporter (NET),Antagonist at centain serotinin and norepinephrine receptors,OCD,1961,"Weight Gain, Somolence, Dry Mouth",Sullivan et al. (2017)
Drug 221,NDRI,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Insomnia,1979,Somolence,Garcia et al. (2020)
Drug 222,NDRI,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Insomnia,2009,"Dry Mouth, Nursea",Johnson et al. (2019)
Drug 223,NDRI,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Panic Disorder,2014,Diarrhea,Smith et al. (2020)
Drug 224,Anxiolytic,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Bipolar Disorder,1974,"Weight Gain, Nursea",white et al. (2021)
Drug 225,TCA,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Depression,2005,Insomnia,Johnson et al. (2019)
Drug 226,Anxiolytic,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,Bipolar Disorder,1982,Drowsiness,Johnson et al. (2019)
Drug 227,NaSSA,Serotinin Transporter (SERT),Antagonist at centain serotinin and norepinephrine receptors,OCD,1982,Drowsiness,Davis et al. (2021)
Drug 228,NaSSA,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Depression,2007,Nursea,Sullivan et al. (2017)
Drug 229,SARI,Serotinin Transporter (SERT),Enhances the effect of GABA at the GABA-A receptor,OCD,1962,"Diarrhea, Insomnia",Parker et al. (2022)
Drug 230,Anxiolytic,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Bipolar Disorder,2012,"Diarrhea, Drowsiness, Headache",Garcia et al. (2020)
Drug 231,Anxiolytic,Norepinephrine Transporter (NET),"Partial agonism and blockade, stabilizes dopamine levels",Anxiety,1964,Insomnia,Davis et al. (2021)
Drug 232,Anxiolytic,GABA Receptor,Enhances the effect of GABA at the GABA-A receptor,Anxiety,2017,"Somolence, Diarrhea, Nursea",Sullivan et al. (2017)
Drug 233,TCA,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Panic Disorder,1975,"Weight Gain, Dry Mouth",white et al. (2021)
Drug 234,SARI,Dopamine Receptors,Inhibits reuptake of serotonin and norepinephrine,Bipolar Disorder,2017,Akathisia,Thompson et al. (2019)
Drug 235,Atypical Antipsychotic,Serotinin Transporter (SERT),Antagonist at centain serotinin and norepinephrine receptors,Generalized Anxiety,2003,Drowsiness,Smith et al. (2020)
Drug 236,TCA,GABA Receptor,Inhibits reuptake of serotonin and norepinephrine,Panic Disorder,1978,"Drowsiness, Weight Gain",white et al. (2021)
Drug 237,SSRI,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Schizophrenia,1985,"Nursea, Somolence",Johnson et al. (2019)
Drug 238,NDRI,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",Depression,1991,Dry Mouth,white et al. (2021)
Drug 239,NaSSA,GABA Receptor,Inhibits reuptake of serotonin and norepinephrine,Insomnia,1986,"Headache, Somolence",Davis et al. (2021)
Drug 240,NaSSA,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Schizophrenia,1996,"Diarrhea, Drowsiness, Dry Mouth",Smith et al. (2020)
Drug 241,Anxiolytic,GABA Receptor,Inhibits reuptake of serotonine,Generalized Anxiety,1966,"Drowsiness, Insomnia",Garcia et al. (2020)
Drug 242,Atypical Antipsychotic,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",Generalized Anxiety,2007,Somolence,Nuss et al. 2020
Drug 243,TCA,GABA Receptor,Inhibits reuptake of serotonin and norepinephrine,OCD,2002,Insomnia,Davis et al. (2021)
Drug 244,SSRI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Schizophrenia,1975,Fatigue,white et al. (2021)
Drug 245,SARI,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Insomnia,2002,Headache,white et al. (2021)
Drug 246,SARI,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Anxiety,1988,"Headache, Insomnia",Garcia et al. (2020)
Drug 247,Anxiolytic,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Depression,1961,Fatigue,Johnson et al. (2019)
Drug 248,NaSSA,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Bipolar Disorder,2008,"Fatigue, Drowsiness",Garcia et al. (2020)
Drug 249,NDRI,Serotinin Transporter (SERT),Antagonist at centain serotinin and norepinephrine receptors,Anxiety,1964,"Nursea, Akathisia, Drowsiness",Smith et al. (2020)
Drug 250,Anxiolytic,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Schizophrenia,2000,Diarrhea,Smith et al. (2020)
Drug 251,SARI,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Bipolar Disorder,1973,"Akathisia, Drowsiness, Headache",Garcia et al. (2020)
Drug 252,Atypical Antipsychotic,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Panic Disorder,2001,"Headache, Dry Mouth",white et al. (2021)
Drug 253,NDRI,Dopamine Receptors,Inhibits reuptake of serotonine,Anxiety,2017,"Dry Mouth, Diarrhea",Sullivan et al. (2017)
Drug 254,TCA,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Insomnia,2020,"Headache, Diarrhea, Fatigue",Garcia et al. (2020)
Drug 255,NDRI,Dopamine Receptors,Inhibits reuptake of serotonin and norepinephrine,Anxiety,1991,Nursea,Nuss et al. 2020
Drug 256,SARI,Serotinin Transporter (SERT),Enhances the effect of GABA at the GABA-A receptor,Panic Disorder,1972,"Insomnia, Somolence",Davis et al. (2021)
Drug 257,SARI,Dopamine Receptors,Inhibits reuptake of serotonine,Panic Disorder,1986,Drowsiness,Nuss et al. 2020
Drug 258,Anxiolytic,Serotinin and Norepinephrine,"Partial agonism and blockade, stabilizes dopamine levels",Generalized Anxiety,1976,"Fatigue, Headache, Somolence",Johnson et al. (2019)
Drug 259,TCA,GABA Receptor,Inhibits reuptake of serotonine,OCD,1960,"Diarrhea, Somolence",Sullivan et al. (2017)
Drug 260,Atypical Antipsychotic,Serotinin and Norepinephrine,"Partial agonism and blockade, stabilizes dopamine levels",Depression,1994,"Weight Gain, Akathisia, Somolence",Nuss et al. 2020
Drug 261,NDRI,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",Bipolar Disorder,1990,"Fatigue, Weight Gain",Davis et al. (2021)
Drug 262,Anxiolytic,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",OCD,2021,Insomnia,Davis et al. (2021)
Drug 263,SSRI,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",Panic Disorder,2019,"Dry Mouth, Somolence, Fatigue",Garcia et al. (2020)
Drug 264,Atypical Antipsychotic,GABA Receptor,Inhibits reuptake of serotonine,Bipolar Disorder,1988,"Headache, Dry Mouth, Somolence",white et al. (2021)
Drug 265,SARI,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Generalized Anxiety,2016,Drowsiness,Nuss et al. 2020
Drug 266,SARI,Serotinin and Norepinephrine,Antagonist at centain serotinin and norepinephrine receptors,Schizophrenia,1996,"Dry Mouth, Fatigue, Insomnia",Thompson et al. (2019)
Drug 267,TCA,Serotinin and Norepinephrine,Antagonist at centain serotinin and norepinephrine receptors,Generalized Anxiety,2011,Drowsiness,Johnson et al. (2019)
Drug 268,Anxiolytic,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",Schizophrenia,1967,"Weight Gain, Headache",Johnson et al. (2019)
Drug 269,Atypical Antipsychotic,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Bipolar Disorder,2001,Fatigue,Thompson et al. (2019)
Drug 270,Anxiolytic,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Bipolar Disorder,1971,"Somolence, Nursea",Smith et al. (2020)
Drug 271,SARI,GABA Receptor,Inhibits reuptake of serotonin and norepinephrine,Depression,2022,"Fatigue, Akathisia",Thompson et al. (2019)
Drug 272,NDRI,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,OCD,1979,"Drowsiness, Akathisia",Brown et al. (2023)
Drug 273,TCA,GABA Receptor,Inhibits reuptake of serotonine,Anxiety,1960,"Fatigue, Dry Mouth, Weight Gain",Nuss et al. 2020
Drug 274,SARI,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,Insomnia,2006,"Diarrhea, Insomnia",Garcia et al. (2020)
Drug 275,Atypical Antipsychotic,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Insomnia,1977,"Dry Mouth, Akathisia",Nuss et al. 2020
Drug 276,NaSSA,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,Depression,2020,"Insomnia, Akathisia",white et al. (2021)
Drug 277,SARI,Dopamine Receptors,"Partial agonism and blockade, stabilizes dopamine levels",Schizophrenia,2018,"Weight Gain, Akathisia",Parker et al. (2022)
Drug 278,Atypical Antipsychotic,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,OCD,1995,"Akathisia, Weight Gain, Nursea",Davis et al. (2021)
Drug 279,Anxiolytic,GABA Receptor,Enhances the effect of GABA at the GABA-A receptor,Panic Disorder,1976,"Drowsiness, Insomnia",Thompson et al. (2019)
Drug 280,SSRI,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Bipolar Disorder,1993,"Weight Gain, Nursea, Fatigue",Nuss et al. 2020
Drug 281,SARI,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Insomnia,1989,"Nursea, Weight Gain",Parker et al. (2022)
Drug 282,SARI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Anxiety,2008,"Insomnia, Somolence",Smith et al. (2020)
Drug 283,NaSSA,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Panic Disorder,2013,"Insomnia, Headache",white et al. (2021)
Drug 284,SARI,Serotinin Transporter (SERT),"Partial agonism and blockade, stabilizes dopamine levels",Panic Disorder,2005,Fatigue,Thompson et al. (2019)
Drug 285,Anxiolytic,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Depression,1966,"Nursea, Dry Mouth, Insomnia",Smith et al. (2020)
Drug 286,NDRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Schizophrenia,1971,"Drowsiness, Fatigue",Garcia et al. (2020)
Drug 287,SSRI,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Schizophrenia,1975,Headache,white et al. (2021)
Drug 288,TCA,Norepinephrine Transporter (NET),Antagonist at centain serotinin and norepinephrine receptors,Anxiety,1962,"Weight Gain, Drowsiness",Garcia et al. (2020)
Drug 289,NaSSA,Norepinephrine Transporter (NET),"Partial agonism and blockade, stabilizes dopamine levels",Anxiety,1995,"Dry Mouth, Weight Gain, Drowsiness",Thompson et al. (2019)
Drug 290,SARI,Norepinephrine Transporter (NET),"Partial agonism and blockade, stabilizes dopamine levels",Panic Disorder,1967,Weight Gain,Parker et al. (2022)
Drug 291,NaSSA,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,OCD,1996,Dry Mouth,white et al. (2021)
Drug 292,SSRI,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,Generalized Anxiety,1960,Dry Mouth,Sullivan et al. (2017)
Drug 293,Anxiolytic,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,OCD,1987,Dry Mouth,Nuss et al. 2020
Drug 294,SSRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Generalized Anxiety,1960,Weight Gain,Thompson et al. (2019)
Drug 295,SARI,Serotinin Transporter (SERT),Inhibits reuptake of serotonine,Anxiety,1962,Fatigue,Smith et al. (2020)
Drug 296,Anxiolytic,Serotinin and Norepinephrine,Antagonist at centain serotinin and norepinephrine receptors,Schizophrenia,1994,"Diarrhea, Insomnia",Brown et al. (2023)
Drug 297,SARI,Norepinephrine Transporter (NET),Enhances the effect of GABA at the GABA-A receptor,Panic Disorder,1998,"Insomnia, Akathisia, Weight Gain",Nuss et al. 2020
Drug 298,NDRI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Generalized Anxiety,1993,"Akathisia, Headache",Nuss et al. 2020
Drug 299,TCA,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,OCD,1984,"Akathisia, Drowsiness",Johnson et al. (2019)
Drug 300,Atypical Antipsychotic,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,Bipolar Disorder,2004,Drowsiness,Smith et al. (2020)
Drug 301,SARI,Norepinephrine Transporter (NET),"Partial agonism and blockade, stabilizes dopamine levels",Bipolar Disorder,2015,"Somolence, Weight Gain, Fatigue",Brown et al. (2023)
Drug 302,Atypical Antipsychotic,Serotinin and Norepinephrine,Antagonist at centain serotinin and norepinephrine receptors,Anxiety,2014,"Headache, Somolence",Brown et al. (2023)
Drug 303,SSRI,Serotinin Transporter (SERT),Enhances the effect of GABA at the GABA-A receptor,OCD,1969,"Weight Gain, Dry Mouth",Parker et al. (2022)
Drug 304,Anxiolytic,Norepinephrine Transporter (NET),Antagonist at centain serotinin and norepinephrine receptors,Schizophrenia,1990,Dry Mouth,Sullivan et al. (2017)
Drug 305,Atypical Antipsychotic,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Panic Disorder,1980,Insomnia,Johnson et al. (2019)
Drug 306,TCA,Norepinephrine Transporter (NET),Antagonist at centain serotinin and norepinephrine receptors,Schizophrenia,1978,"Insomnia, Fatigue, Drowsiness",Sullivan et al. (2017)
Drug 307,Anxiolytic,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Bipolar Disorder,1980,"Akathisia, Diarrhea",Thompson et al. (2019)
Drug 308,NaSSA,GABA Receptor,Enhances the effect of GABA at the GABA-A receptor,Generalized Anxiety,2008,Somolence,Sullivan et al. (2017)
Drug 309,NaSSA,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Depression,2004,Headache,Davis et al. (2021)
Drug 310,Anxiolytic,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",OCD,1988,"Somolence, Fatigue, Drowsiness",Parker et al. (2022)
Drug 311,NDRI,Dopamine Receptors,Inhibits reuptake of serotonin and norepinephrine,OCD,1980,Diarrhea,Garcia et al. (2020)
Drug 312,Atypical Antipsychotic,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Panic Disorder,2012,"Headache, Weight Gain, Fatigue",Parker et al. (2022)
Drug 313,SARI,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Bipolar Disorder,2013,Fatigue,Davis et al. (2021)
Drug 314,SARI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Anxiety,2009,"Insomnia, Headache",Garcia et al. (2020)
Drug 315,TCA,Serotinin Transporter (SERT),Antagonist at centain serotinin and norepinephrine receptors,Bipolar Disorder,1966,"Headache, Akathisia, Dry Mouth",Sullivan et al. (2017)
Drug 316,NDRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Panic Disorder,2012,"Fatigue, Insomnia",Davis et al. (2021)
Drug 317,Atypical Antipsychotic,GABA Receptor,Inhibits reuptake of serotonin and norepinephrine,Generalized Anxiety,2010,Nursea,Johnson et al. (2019)
Drug 318,Atypical Antipsychotic,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",Panic Disorder,1965,"Insomnia, Dry Mouth, Weight Gain",white et al. (2021)
Drug 319,TCA,Norepinephrine Transporter (NET),Inhibits reuptake of serotonin and norepinephrine,Generalized Anxiety,2007,"Dry Mouth, Akathisia, Headache",Johnson et al. (2019)
Drug 320,SSRI,Serotinin and Norepinephrine,"Partial agonism and blockade, stabilizes dopamine levels",Depression,2020,"Somolence, Nursea, Diarrhea",Brown et al. (2023)
Drug 321,NaSSA,Dopamine Receptors,Antagonist at centain serotinin and norepinephrine receptors,Anxiety,1994,"Weight Gain, Insomnia, Nursea",Sullivan et al. (2017)
Drug 322,NDRI,Norepinephrine Transporter (NET),"Partial agonism and blockade, stabilizes dopamine levels",OCD,2002,Nursea,Johnson et al. (2019)
Drug 323,Atypical Antipsychotic,Serotinin Transporter (SERT),Enhances the effect of GABA at the GABA-A receptor,Bipolar Disorder,1979,"Dry Mouth, Drowsiness",Sullivan et al. (2017)
Drug 324,Atypical Antipsychotic,Serotinin and Norepinephrine,"Partial agonism and blockade, stabilizes dopamine levels",Generalized Anxiety,1984,"Drowsiness, Nursea",Garcia et al. (2020)
Drug 325,TCA,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Bipolar Disorder,2011,"Dry Mouth, Weight Gain, Headache",white et al. (2021)
Drug 326,SSRI,Serotinin Transporter (SERT),Inhibits reuptake of serotonin and norepinephrine,Generalized Anxiety,2009,"Headache, Dry Mouth, Diarrhea",Nuss et al. 2020
Drug 327,Atypical Antipsychotic,GABA Receptor,Enhances the effect of GABA at the GABA-A receptor,Insomnia,2013,"Akathisia, Weight Gain",Nuss et al. 2020
Drug 328,Anxiolytic,Norepinephrine Transporter (NET),"Partial agonism and blockade, stabilizes dopamine levels",Depression,1962,"Weight Gain, Insomnia",Johnson et al. (2019)
Drug 329,SSRI,Serotinin and Norepinephrine,Antagonist at centain serotinin and norepinephrine receptors,Bipolar Disorder,1999,"Insomnia, Diarrhea, Drowsiness",Sullivan et al. (2017)
Drug 330,NDRI,Norepinephrine Transporter (NET),Antagonist at centain serotinin and norepinephrine receptors,Schizophrenia,2015,"Drowsiness, Somolence",Sullivan et al. (2017)
Drug 331,Atypical Antipsychotic,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Insomnia,2019,"Nursea, Dry Mouth, Insomnia",Davis et al. (2021)
Drug 332,Anxiolytic,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Schizophrenia,2015,"Somolence, Akathisia",Brown et al. (2023)
Drug 333,SSRI,Dopamine Receptors,Enhances the effect of GABA at the GABA-A receptor,Bipolar Disorder,2017,"Akathisia, Somolence",Sullivan et al. (2017)
Drug 334,SSRI,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Schizophrenia,2022,"Weight Gain, Headache, Somolence",Brown et al. (2023)
Drug 335,NaSSA,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Generalized Anxiety,2010,Somolence,Sullivan et al. (2017)
Drug 336,NDRI,Serotinin and Norepinephrine,"Partial agonism and blockade, stabilizes dopamine levels",OCD,2001,Drowsiness,Garcia et al. (2020)
Drug 337,NaSSA,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Bipolar Disorder,1985,"Drowsiness, Akathisia",Sullivan et al. (2017)
Drug 338,NDRI,Norepinephrine Transporter (NET),Inhibits reuptake of serotonine,Panic Disorder,2016,Diarrhea,Garcia et al. (2020)
Drug 339,Atypical Antipsychotic,Serotinin Transporter (SERT),Antagonist at centain serotinin and norepinephrine receptors,Depression,1972,"Nursea, Insomnia, Fatigue",white et al. (2021)
Drug 340,SSRI,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Schizophrenia,1969,"Weight Gain, Fatigue, Dry Mouth",Thompson et al. (2019)
Drug 341,SSRI,Norepinephrine Transporter (NET),"Partial agonism and blockade, stabilizes dopamine levels",OCD,1986,Akathisia,Smith et al. (2020)
Drug 342,Atypical Antipsychotic,Serotinin and Norepinephrine,Inhibits reuptake of serotonin and norepinephrine,Schizophrenia,2016,Headache,Thompson et al. (2019)
Drug 343,Anxiolytic,Serotinin and Norepinephrine,Inhibits reuptake of serotonine,Anxiety,1983,"Akathisia, Dry Mouth",Parker et al. (2022)
Drug 344,NaSSA,Dopamine Receptors,Inhibits reuptake of serotonine,Schizophrenia,1985,Fatigue,Smith et al. (2020)
Drug 345,NaSSA,Serotinin Transporter (SERT),Enhances the effect of GABA at the GABA-A receptor,OCD,1961,"Dry Mouth, Diarrhea, Weight Gain",Johnson et al. (2019)
Drug 346,SARI,Serotinin and Norepinephrine,"Partial agonism and blockade, stabilizes dopamine levels",Depression,1980,"Headache, Dry Mouth",Johnson et al. (2019)
Drug 347,SSRI,GABA Receptor,Antagonist at centain serotinin and norepinephrine receptors,Insomnia,2022,"Insomnia, Drowsiness",white et al. (2021)
Drug 348,Atypical Antipsychotic,GABA Receptor,"Partial agonism and blockade, stabilizes dopamine levels",Generalized Anxiety,2014,"Insomnia, Weight Gain, Fatigue",Sullivan et al. (2017)
